Time,Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z,Label
12:04:51,0.42,-0.75,0.52,0.42,-1.33,0.49,Sitting
12:04:51,0.42,-0.75,0.52,0.49,-1.19,0.56,Sitting
12:04:51,0.42,-0.75,0.52,0.7,-1.19,0.56,Sitting
12:04:51,0.43,-0.75,0.52,0.84,-0.98,0.63,Sitting
12:04:51,0.42,-0.75,0.52,0.7,-1.05,0.56,Sitting
12:04:51,0.42,-0.75,0.52,0.42,-1.19,0.42,Sitting
12:04:51,0.42,-0.75,0.52,0.42,-1.12,0.42,Sitting
12:04:51,0.42,-0.75,0.52,0.42,-0.77,0.35,Sitting
12:04:51,0.42,-0.75,0.52,0.35,-0.91,0.42,Sitting
12:04:51,0.42,-0.75,0.52,0.14,-1.05,0.42,Sitting
12:04:51,0.42,-0.75,0.52,0.14,-1.12,0.42,Sitting
12:04:51,0.42,-0.75,0.52,0.14,-1.26,0.35,Sitting
12:04:51,0.42,-0.75,0.52,0.28,-1.12,0.14,Sitting
12:04:51,0.42,-0.75,0.52,0.42,-0.77,0.28,Sitting
12:04:51,0.42,-0.76,0.52,0.21,-0.7,0.28,Sitting
12:04:51,0.42,-0.75,0.52,0.07,-0.84,0.28,Sitting
12:04:51,0.42,-0.76,0.52,0.49,-0.49,0.21,Sitting
12:04:51,0.42,-0.75,0.52,0.42,-0.56,-0.14,Sitting
12:04:51,0.42,-0.76,0.52,0.49,-0.7,0,Sitting
12:04:51,0.43,-0.76,0.52,0.56,-0.63,0.14,Sitting
12:04:51,0.43,-0.75,0.52,0.56,-0.56,0.21,Sitting
12:04:51,0.42,-0.75,0.52,0.7,-0.7,0.28,Sitting
12:04:51,0.43,-0.74,0.52,0.63,-0.77,0.07,Sitting
12:04:51,0.43,-0.74,0.52,0.77,-0.84,0.28,Sitting
12:04:51,0.43,-0.74,0.52,0.7,-0.91,0.28,Sitting
12:04:51,0.43,-0.74,0.52,0.35,-0.98,0.28,Sitting
12:04:51,0.44,-0.74,0.52,0.07,-0.56,0.21,Sitting
12:04:51,0.43,-0.74,0.52,0.14,0.21,0.07,Sitting
12:04:51,0.43,-0.74,0.52,0.28,0.56,0.28,Sitting
12:04:51,0.42,-0.74,0.52,0,0.7,0.42,Sitting
12:04:51,0.42,-0.74,0.52,-0.21,0.91,0.56,Sitting
12:04:51,0.42,-0.74,0.52,-0.21,0.84,0.7,Sitting
12:04:51,0.42,-0.73,0.54,1.12,0.7,1.33,Sitting
12:04:51,0.42,-0.76,0.52,0,1.12,0.56,Sitting
12:04:51,0.42,-0.75,0.53,0.21,1.26,0.56,Sitting
12:04:51,0.42,-0.75,0.52,0.21,1.89,0.35,Sitting
12:04:51,0.41,-0.75,0.51,-0.14,1.82,0.42,Sitting
12:04:51,0.4,-0.73,0.53,0.7,0.77,1.05,Sitting
12:04:51,0.4,-0.76,0.51,-3.36,-0.42,1.05,Sitting
12:04:51,0.41,-0.77,0.52,-1.12,-0.07,0.7,Sitting
12:04:51,0.41,-0.76,0.52,-0.98,-0.42,0.63,Sitting
12:04:51,0.4,-0.75,0.51,-1.75,-0.98,0.84,Sitting
12:04:51,0.4,-0.75,0.51,-2.66,-1.68,0.98,Sitting
12:04:51,0.4,-0.76,0.51,-3.01,-2.24,1.05,Sitting
12:04:51,0.41,-0.77,0.52,-3.29,-2.38,0.98,Sitting
12:04:51,0.41,-0.76,0.51,-3.64,-2.66,0.77,Sitting
12:04:51,0.42,-0.76,0.51,-4.06,-2.8,0.63,Sitting
12:04:51,0.42,-0.76,0.51,-3.92,-2.94,0.7,Sitting
12:04:51,0.42,-0.76,0.51,-3.57,-2.87,0.98,Sitting
12:04:51,0.42,-0.76,0.51,-3.01,-2.8,1.12,Sitting
12:04:51,0.41,-0.76,0.51,-3.15,-3.08,1.26,Sitting
12:04:51,0.41,-0.76,0.51,-3.15,-3.36,1.19,Sitting
12:04:51,0.42,-0.76,0.52,-3.01,-3.15,0.91,Sitting
12:04:51,0.42,-0.77,0.51,-2.38,-2.73,0.63,Sitting
12:04:51,0.42,-0.77,0.52,-1.82,-2.52,0.56,Sitting
12:04:51,0.42,-0.77,0.51,-1.61,-2.24,0.35,Sitting
12:04:51,0.42,-0.76,0.51,-1.26,-2.1,0.35,Sitting
12:04:51,0.42,-0.76,0.51,-1.19,-2.1,0.63,Sitting
12:04:51,0.41,-0.76,0.51,-0.98,-2.1,0.49,Sitting
12:04:51,0.41,-0.76,0.51,-0.63,-2.1,0.56,Sitting
12:04:51,0.42,-0.76,0.51,-0.84,-1.89,0.21,Sitting
12:04:51,0.42,-0.76,0.5,-0.84,-1.82,0.28,Sitting
12:04:51,0.42,-0.77,0.5,-0.77,-2.03,0.14,Sitting
12:04:51,0.42,-0.76,0.5,-0.56,-1.96,0.14,Sitting
12:04:51,0.41,-0.76,0.5,-0.42,-2.17,0.35,Sitting
12:04:51,0.41,-0.75,0.51,-0.49,-2.52,0.63,Sitting
12:04:51,0.41,-0.76,0.51,-0.35,-3.08,0.63,Sitting
12:04:51,0.41,-0.76,0.52,-0.49,-3.22,0.56,Sitting
12:04:51,0.42,-0.76,0.52,-1.26,-3.36,0.35,Sitting
12:04:51,0.42,-0.77,0.51,-1.47,-3.22,0.63,Sitting
12:04:51,0.41,-0.76,0.51,-2.17,-3.36,0.42,Sitting
12:04:51,0.42,-0.75,0.51,-2.59,-3.92,0.56,Sitting
12:04:51,0.42,-0.75,0.51,-3.15,-3.92,0.42,Sitting
12:04:51,0.42,-0.75,0.51,-3.15,-3.85,0.49,Sitting
12:04:51,0.42,-0.75,0.51,-3.01,-3.78,0.56,Sitting
12:04:51,0.41,-0.75,0.51,-3.22,-4.13,0.42,Sitting
12:04:51,0.41,-0.75,0.51,-4.27,-3.57,0.14,Sitting
12:04:51,0.42,-0.77,0.51,-3.92,-3.71,0.07,Sitting
12:04:51,0.42,-0.77,0.5,-5.46,-3.92,-0.14,Sitting
12:04:51,0.42,-0.77,0.5,-3.29,-2.73,-0.49,Sitting
12:04:51,0.42,-0.76,0.5,-3.36,-2.52,-0.63,Sitting
12:04:51,0.43,-0.77,0.5,-2.66,-1.82,-0.63,Sitting
12:04:51,0.43,-0.76,0.49,-3.08,-2.73,-1.19,Sitting
12:04:51,0.43,-0.75,0.49,-5.6,-4.48,-0.49,Sitting
12:04:51,0.43,-0.77,0.5,-4.97,-4.41,-0.98,Sitting
12:04:51,0.43,-0.77,0.49,-4.62,-4.55,-0.7,Sitting
12:04:51,0.42,-0.77,0.5,-3.99,-4.55,-1.19,Sitting
12:04:51,0.42,-0.76,0.5,-4.27,-4.83,-1.75,Sitting
12:04:51,0.42,-0.77,0.5,-4.9,-4.83,-1.96,Sitting
12:04:51,0.43,-0.76,0.5,-5.39,-4.55,-1.96,Sitting
12:04:51,0.43,-0.76,0.5,-5.39,-4.27,-2.1,Sitting
12:04:51,0.43,-0.76,0.49,-5.53,-3.78,-1.61,Sitting
12:04:51,0.43,-0.76,0.49,-5.46,-3.5,-1.05,Sitting
12:04:51,0.42,-0.78,0.49,-7.63,-4.69,-1.47,Sitting
12:04:51,0.43,-0.78,0.49,-6.02,-3.92,-2.31,Sitting
12:04:51,0.43,-0.78,0.49,-5.53,-3.22,-2.66,Sitting
12:04:51,0.42,-0.78,0.49,-6.72,-3.08,-2.66,Sitting
12:04:51,0.42,-0.78,0.48,-6.93,-3.01,-2.52,Sitting
12:04:51,0.42,-0.78,0.47,-9.59,-3.5,-2.52,Sitting
12:04:51,0.43,-0.82,0.47,-5.11,-1.68,-1.82,Sitting
12:04:51,0.43,-0.8,0.47,-3.22,-0.91,-3.5,Sitting
12:04:51,0.43,-0.8,0.47,-1.68,0.49,-3.57,Sitting
12:04:51,0.42,-0.8,0.46,-0.7,2.24,-3.29,Sitting
12:04:51,0.42,-0.79,0.47,2.66,3.01,-2.45,Sitting
12:04:51,0.42,-0.78,0.47,3.01,2.87,-3.57,Sitting
12:04:51,0.42,-0.78,0.47,4.13,2.31,-3.78,Sitting
12:04:51,0.41,-0.78,0.47,0.91,0.49,-1.89,Sitting
12:04:51,0.43,-0.79,0.48,2.03,0.35,-2.94,Sitting
12:04:51,0.44,-0.77,0.48,4.06,0.42,-2.73,Sitting
12:04:51,0.45,-0.76,0.47,3.71,-0.84,-2.24,Sitting
12:04:51,0.45,-0.76,0.47,1.96,-2.31,-1.82,Sitting
12:04:51,0.46,-0.74,0.46,1.12,-4.2,-1.54,Sitting
12:04:51,0.45,-0.75,0.47,-0.07,-4.69,-0.35,Sitting
12:04:51,0.46,-0.75,0.47,-0.42,-5.67,0.49,Sitting
12:04:51,0.47,-0.75,0.46,-0.98,-5.88,0.91,Sitting
12:04:51,0.48,-0.74,0.46,-0.98,-4.97,1.05,Sitting
12:04:51,0.48,-0.76,0.46,-0.21,-4.62,1.47,Sitting
12:04:51,0.48,-0.76,0.46,0.84,-3.92,1.61,Sitting
12:04:51,0.47,-0.77,0.47,2.38,-2.94,1.96,Sitting
12:04:51,0.46,-0.78,0.47,3.64,-2.31,2.24,Sitting
12:04:51,0.46,-0.78,0.48,4.62,-1.68,2.1,Sitting
12:04:51,0.46,-0.78,0.48,5.32,-1.26,1.96,Sitting
12:04:51,0.46,-0.78,0.48,5.95,-0.49,1.68,Sitting
12:04:51,0.47,-0.77,0.48,6.72,0.49,1.82,Sitting
12:04:51,0.46,-0.76,0.48,7.28,1.33,1.89,Sitting
12:04:51,0.45,-0.76,0.48,7.42,1.82,2.17,Sitting
12:04:51,0.41,-0.76,0.5,1.75,0.63,0.84,Sitting
12:04:51,0.42,-0.76,0.5,1.4,0,0.7,Sitting
12:04:51,0.41,-0.77,0.51,0.91,-0.91,0.42,Sitting
12:04:51,0.42,-0.77,0.51,0.21,-1.26,0,Sitting
12:04:51,0.43,-0.76,0.5,-0.21,-1.05,-0.07,Sitting
12:04:51,0.43,-0.76,0.5,-0.98,-0.56,0.07,Sitting
12:04:51,0.42,-0.75,0.49,-1.4,-0.84,0.35,Sitting
12:04:51,0.41,-0.75,0.5,-1.47,-1.54,0.56,Sitting
12:04:51,0.42,-0.75,0.5,-1.75,-1.61,0.63,Sitting
12:04:51,0.43,-0.75,0.5,-2.03,-1.82,0.56,Sitting
12:04:51,0.44,-0.75,0.5,-2.52,-1.75,0.35,Sitting
12:04:51,0.45,-0.75,0.48,-3.57,-1.96,0.91,Sitting
12:04:51,0.44,-0.75,0.49,-3.5,-2.31,1.33,Sitting
12:04:51,0.44,-0.75,0.49,-3.29,-2.38,1.75,Sitting
12:04:51,0.44,-0.75,0.49,-2.94,-2.66,1.82,Sitting
12:04:51,0.44,-0.76,0.49,-2.73,-2.38,1.68,Sitting
12:04:51,0.44,-0.76,0.49,-2.73,-1.96,1.47,Sitting
12:04:51,0.44,-0.77,0.49,-2.73,-1.54,1.12,Sitting
12:04:51,0.44,-0.77,0.48,-2.52,-1.47,1.05,Sitting
12:04:51,0.44,-0.77,0.48,-2.17,-1.19,1.05,Sitting
12:04:51,0.44,-0.77,0.48,-1.47,-1.26,1.19,Sitting
12:04:51,0.44,-0.78,0.48,-0.14,-1.05,0.49,Sitting
12:04:51,0.44,-0.79,0.48,0.56,-0.7,0.14,Sitting
12:04:51,0.44,-0.79,0.48,1.12,-0.35,-0.21,Sitting
12:04:51,0.44,-0.79,0.48,1.4,-0.14,-0.49,Sitting
12:04:51,0.43,-0.79,0.48,1.68,0.14,-0.7,Sitting
12:04:51,0.43,-0.79,0.48,2.03,0.28,-0.84,Sitting
12:04:51,0.43,-0.79,0.47,2.73,-0.07,0,Sitting
12:04:51,0.42,-0.79,0.48,2.52,1.05,-1.12,Sitting
12:04:51,0.41,-0.77,0.48,3.29,0.21,-1.12,Sitting
12:04:51,0.42,-0.77,0.48,3.57,-0.07,-0.84,Sitting
12:04:51,0.42,-0.77,0.49,3.71,-0.35,-1.19,Sitting
12:04:51,0.43,-0.77,0.49,3.01,-0.56,-1.26,Sitting
12:04:51,0.43,-0.77,0.49,2.45,-0.98,-1.26,Sitting
12:04:51,0.43,-0.76,0.49,1.61,-1.47,-1.12,Sitting
12:04:51,0.43,-0.76,0.49,0.91,-2.31,-0.77,Sitting
12:04:51,0.43,-0.75,0.49,0.28,-2.87,-0.42,Sitting
12:04:51,0.43,-0.75,0.5,-0.21,-3.29,-0.14,Sitting
12:04:51,0.43,-0.75,0.5,-0.63,-3.71,-0.07,Sitting
12:04:51,0.43,-0.75,0.5,-1.05,-3.99,0.07,Sitting
12:04:51,0.44,-0.75,0.5,-1.4,-4.2,0.28,Sitting
12:04:51,0.44,-0.75,0.5,-1.68,-4.06,0.42,Sitting
12:04:51,0.45,-0.75,0.49,-1.96,-3.92,0.56,Sitting
12:04:51,0.46,-0.76,0.5,-1.19,-1.96,0.98,Sitting
12:04:51,0.46,-0.76,0.5,-1.05,-1.4,1.05,Sitting
12:04:51,0.46,-0.76,0.49,-0.84,-0.91,1.05,Sitting
12:04:51,0.45,-0.76,0.49,-0.63,-0.49,0.98,Sitting
12:04:51,0.44,-0.76,0.48,-0.56,-0.07,0.98,Sitting
12:04:51,0.44,-0.76,0.48,-0.49,-0.21,0.98,Sitting
12:04:51,0.44,-0.76,0.49,-0.42,0,0.91,Sitting
12:04:51,0.44,-0.77,0.49,-0.14,0,0.77,Sitting
12:04:51,0.44,-0.77,0.49,0.14,0.21,0.49,Sitting
12:04:51,0.43,-0.77,0.49,0.42,0.42,0.28,Sitting
12:04:51,0.43,-0.77,0.48,0.28,0.56,0.07,Sitting
12:04:51,0.42,-0.78,0.48,-0.21,0.21,0.56,Sitting
12:04:51,0.43,-0.78,0.48,-0.21,-0.07,0.42,Sitting
12:04:51,0.43,-0.78,0.48,-0.28,-0.21,0.28,Sitting
12:04:51,0.42,-0.78,0.47,-0.49,-0.49,0.21,Sitting
12:04:51,0.42,-0.77,0.47,-0.98,-0.98,0.14,Sitting
12:04:51,0.43,-0.77,0.48,-0.84,-1.4,0.07,Sitting
12:04:51,0.43,-0.78,0.48,-0.35,-1.26,-0.14,Sitting
12:04:51,0.44,-0.78,0.48,0.07,-1.12,-0.21,Sitting
12:04:51,0.44,-0.77,0.48,0.42,-1.19,-0.07,Sitting
12:04:51,0.44,-0.77,0.48,0.56,-1.33,0.28,Sitting
12:04:51,0.44,-0.77,0.48,0.91,-1.61,0.35,Sitting
12:04:51,0.44,-0.77,0.48,1.12,-1.4,0.49,Sitting
12:04:51,0.44,-0.77,0.48,1.12,-1.4,0.35,Sitting
12:04:51,0.44,-0.77,0.48,1.54,-1.4,0.28,Sitting
12:04:51,0.44,-0.77,0.48,1.82,-1.26,0.28,Sitting
12:04:51,0.44,-0.76,0.49,2.03,-1.26,0.42,Sitting
12:04:51,0.44,-0.76,0.49,2.1,-0.98,0.35,Sitting
12:04:51,0.44,-0.76,0.49,2.31,-0.77,0.35,Sitting
12:04:51,0.44,-0.76,0.49,2.31,-0.56,0.28,Sitting
12:04:51,0.44,-0.76,0.49,2.38,-0.21,0.49,Sitting
12:04:51,0.44,-0.76,0.49,2.45,-0.21,0.35,Sitting
12:04:51,0.44,-0.76,0.49,2.38,-0.07,0.42,Sitting
12:04:51,0.44,-0.75,0.49,1.89,-0.35,0.49,Sitting
12:04:51,0.44,-0.75,0.5,1.75,-0.28,0.63,Sitting
12:04:51,0.44,-0.75,0.5,1.54,-0.07,0.56,Sitting
12:04:51,0.43,-0.75,0.5,1.19,0,0.56,Sitting
12:04:51,0.43,-0.75,0.49,0.77,0.07,0.63,Sitting
12:04:51,0.43,-0.75,0.5,0.7,0,0.63,Sitting
12:04:51,0.44,-0.76,0.5,0.84,0.14,0.49,Sitting
12:04:51,0.44,-0.76,0.5,0.84,0.28,0.56,Sitting
12:04:51,0.44,-0.76,0.5,0.84,0.14,0.7,Sitting
12:04:51,0.44,-0.76,0.49,0.49,-0.14,0.77,Sitting
12:04:51,0.43,-0.76,0.49,0.21,-0.28,0.63,Sitting
12:04:51,0.43,-0.76,0.49,-0.07,-0.35,0.49,Sitting
12:04:51,0.43,-0.76,0.49,-0.42,-0.35,0.21,Sitting
12:04:51,0.43,-0.77,0.49,-0.28,-0.49,0.28,Sitting
12:04:51,0.43,-0.77,0.49,-0.42,-0.63,0.14,Sitting
12:04:51,0.43,-0.77,0.49,-0.42,-0.63,0.21,Sitting
12:04:51,0.44,-0.77,0.49,-0.63,-0.77,0.28,Sitting
12:04:51,0.44,-0.77,0.49,-0.42,-0.77,0.21,Sitting
12:04:51,0.43,-0.77,0.49,-0.35,-1.19,0.21,Sitting
12:04:51,0.43,-0.77,0.49,-0.42,-1.4,0.14,Sitting
12:04:51,0.43,-0.77,0.49,-0.42,-1.4,0.21,Sitting
12:04:51,0.44,-0.77,0.49,-0.21,-1.19,0.28,Sitting
12:04:51,0.44,-0.77,0.49,0.07,-1.26,0.35,Sitting
12:04:51,0.43,-0.76,0.49,0.63,-1.12,0.28,Sitting
12:04:51,0.43,-0.76,0.49,0.56,-1.05,0.28,Sitting
12:04:51,0.43,-0.76,0.49,0.49,-1.12,0.21,Sitting
12:04:51,0.43,-0.76,0.49,0.35,-1.05,0.28,Sitting
12:04:51,0.43,-0.76,0.49,0.35,-1.12,0.42,Sitting
12:04:51,0.44,-0.76,0.5,0.21,-1.19,0.35,Sitting
12:04:51,0.44,-0.77,0.49,0.14,-1.05,0.28,Sitting
12:04:51,0.44,-0.76,0.49,0.07,-1.12,0.21,Sitting
12:04:51,0.44,-0.76,0.49,-0.28,-1.05,0.35,Sitting
12:04:51,0.44,-0.76,0.49,-0.49,-1.26,0.7,Sitting
